artifact_id,artifact_path,evidence_layer,source_artifact,generating_script,scientific_role,status,notes
EV11,R0_STABILITY_ANALYSIS_NOTE.md,MECHANISTIC,"EV03, EV10",N/A,Next-generation-matrix R0 derivation + Matignon stability proof,COMPLETE,Threshold proved alpha-independent for alpha in (0,1].
EV12,results_canonical/04_long_open_loop/table_long_open_loop.csv,LONG_OPEN_LOOP,outputs/validation/validation_metrics.csv,scripts/build_canonical_evidence_package.py,Single-origin open-loop stress test (fractional vs integer),COMPLETE,"Fractional RMSE=1117.960; integer RMSE=1759.538. NOT mixed with rolling-origin evidence."
EV13,outputs/validation/fractional_predictions.csv,LONG_OPEN_LOOP,outputs/calibration/fractional_parameters.csv,scripts/run_validation.py,Row-level long-open-loop predictions (fractional),COMPLETE,24 monthly rows, 2021-01..2022-12.
EV14,outputs/validation/integer_predictions.csv,LONG_OPEN_LOOP,outputs/calibration/integer_parameters.csv,scripts/run_validation.py,Row-level long-open-loop predictions (integer),COMPLETE,24 monthly rows, 2021-01..2022-12.
EV15,outputs/audits/residual_autocorrelation_diagnostics.csv,LONG_OPEN_LOOP,"outputs/calibration/*_predictions.csv, outputs/validation/*_predictions.csv",scripts/r0_envelope_and_residual_diagnostics.py,Ljung-Box/ACF diagnostics on long-open-loop residuals,COMPLETE,Significant autocorrelation in all 4 series (p<0.001); diagnostic only.
EV16,docs/SARIMA_BASELINE_CONTRACT.md,ROLLING_ORIGIN,data/raw/tb_mes.xlsx (2001-2020 only),N/A,Frozen train-only SARIMA order-selection procedure,COMPLETE,Order selected before evaluation, never revisited.
EV17,outputs/forecasting/sarima_frozen_order.json,ROLLING_ORIGIN,data/raw/tb_mes.xlsx (2001-2020 only),scripts/select_sarima_order.py,Frozen SARIMA order + full AIC grid,COMPLETE,SARIMA(0,1,2)(1,1,1,12), AIC=3194.705.
EV18,outputs/forecasting/rolling_origin_predictions.csv,ROLLING_ORIGIN,data/raw/tb_mes.xlsx,scripts/run_rolling_origin_forecast.py,Row-level rolling-origin predictions (all models),COMPLETE,"780 rows (13 origins x 12 horizons x 5 models); 0 leakage violations."
EV19,results_canonical/05_rolling_origin/table_forecasting_by_horizon.csv,ROLLING_ORIGIN,outputs/forecasting/metrics_by_horizon.csv,scripts/build_canonical_evidence_package.py,Primary horizon-wise RMSE/MAE/bias (never collapsed),COMPLETE,60 rows = 5 models x 12 horizons.
EV20,results_canonical/05_rolling_origin/table_skill_by_horizon.csv,ROLLING_ORIGIN,outputs/forecasting/skill_by_horizon.csv,scripts/build_canonical_evidence_package.py,Baseline-relative skill by horizon,COMPLETE,144 rows = 2 focal models x 3 baselines x 12 horizons x 2 metrics.
EV21,results_canonical/05_rolling_origin/table_horizon_summary.csv,ROLLING_ORIGIN,outputs/forecasting/horizon_summary.csv,scripts/build_canonical_evidence_package.py,H_relax / H_strict_from_h1 per baseline x metric,COMPLETE,"vs persistence 0/0; vs SARIMA 0/0; vs seasonal_naive_12 7/7 (RMSE and MAE)."
EV22,outputs/forecasting/forecast_error_acf.csv,ROLLING_ORIGIN,outputs/forecasting/rolling_origin_predictions.csv,scripts/forecast_error_acf.py,Forecast-error ACF by model x horizon,COMPLETE,Diagnostic only; not used as a significance test.
EV23,outputs/forecasting/protocol_comparison.csv,ROLLING_ORIGIN,"outputs/validation/validation_metrics.csv, outputs/forecasting/rolling_origin_predictions.csv",scripts/protocol_comparison.py,Explicit LONG_OPEN_LOOP vs ROLLING_ORIGIN separation,COMPLETE,Rolling-origin row is a SECONDARY pooled aggregate only.
EV24,FORECASTING_EVALUATION_REPORT.md,ROLLING_ORIGIN,"EV18-EV23",N/A,Full rolling-origin forecasting evaluation report,COMPLETE,Verdict FRACTIONAL_ADVANTAGE_ONLY_VS_INTEGER.
EV25,results_canonical/06_figures/F1_rmse_vs_horizon.png,FIGURE,outputs/forecasting/metrics_by_horizon.csv,scripts/forecasting_figures.py,RMSE vs horizon, all 5 models,COMPLETE,Copied unchanged from outputs/figures/forecasting/.
EV26,results_canonical/06_figures/F2a_skill_rmse_vs_horizon.png,FIGURE,outputs/forecasting/skill_by_horizon.csv,scripts/forecasting_figures.py,Fractional RMSE skill vs 3 baselines,COMPLETE,skill=0 reference line included.
EV27,results_canonical/06_figures/F2b_skill_mae_vs_horizon.png,FIGURE,outputs/forecasting/skill_by_horizon.csv,scripts/forecasting_figures.py,Fractional MAE skill vs 3 baselines,COMPLETE,skill=0 reference line included.
EV28,results_canonical/06_figures/F3_R0_near_equivalent_envelope.png,FIGURE,outputs/identifiability/R0_evidence_set_classification.csv,scripts/build_canonical_evidence_package.py,R0 practical-identifiability envelope (n=25 admissible set),COMPLETE,New figure built for this freeze from already-frozen data only.
EV29,results_canonical/06_figures/F4_bias_vs_horizon.png,FIGURE,outputs/forecasting/metrics_by_horizon.csv,scripts/forecasting_figures.py,Bias vs horizon, all 5 models,COMPLETE,Copied unchanged from outputs/figures/forecasting/.
EV30,results_canonical/07_claim_support/claim_support_table.csv,CLAIM_SUPPORT,"EV09, EV10, EV19, EV20, EV21, EV24",N/A,Manuscript claim-wording gate (11 claims C01-C11),COMPLETE,Every claim maps to a supporting artifact and allowed/forbidden wording.
EV31,outputs/EVIDENCE_MANIFEST.csv,MODEL_CONTRACT,N/A,N/A,Full repository-level (non-canonical-package) artifact manifest,COMPLETE,Superset of this manifest; covers every stage since REPOSITORY_INITIALIZATION.
