artifact,model,split,source_data,generating_script,parameters_source,status,notes
outputs/identifiability/prediction_dispersion.csv,fractional,calibration+validation,outputs/calibration/fractional_multiseed.csv,scripts/identifiability_ensemble.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 4,COMPLETE,"264 monthly rows; mean CV 0.19% (calibration) / 0.58% (validation) across the 5 solutions."
outputs/identifiability/R0_multiseed_diagnostic.csv,fractional,calibration,outputs/identifiability/multiseed_functionals.csv,scripts/r0_multiseed_diagnostic.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 7,COMPLETE,"CV=0.647%, relative range=1.99% across 5 seeds."
outputs/identifiability/profile_objective.csv,fractional,calibration,data/raw/tb_mes.xlsx,scripts/profile_objective.py,PRIMARY_SEED=20260815; grid documented in script docstring,COMPLETE,"28 rows (4 parameters x 7 grid points); alpha sharply peaked, beta/gamma/d flat over wide ranges."
outputs/identifiability/near_equivalent_solution_bands.csv,fractional,calibration,"outputs/identifiability/multiseed_functionals.csv, outputs/identifiability/profile_objective.csv",scripts/near_equivalent_solution_bands.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 7,COMPLETE,"Descriptive bands (<=0.1/0.5/1.0/2.0% over canonical RMSE), not significance thresholds."
outputs/figures/identifiability/beta_vs_gamma.png,fractional,calibration,"outputs/identifiability/multiseed_functionals.csv, outputs/identifiability/profile_objective.csv",scripts/identifiability_tradeoff_plots.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 6,COMPLETE,"Descriptive scatter; no causal inference."
outputs/figures/identifiability/beta_vs_d.png,fractional,calibration,"outputs/identifiability/multiseed_functionals.csv, outputs/identifiability/profile_objective.csv",scripts/identifiability_tradeoff_plots.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 6,COMPLETE,"Descriptive scatter; no causal inference."
outputs/figures/identifiability/gamma_vs_d.png,fractional,calibration,"outputs/identifiability/multiseed_functionals.csv, outputs/identifiability/profile_objective.csv",scripts/identifiability_tradeoff_plots.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 6,COMPLETE,"Descriptive scatter; no causal inference."
outputs/figures/identifiability/beta_vs_R0_diagnostic.png,fractional,calibration,"outputs/identifiability/multiseed_functionals.csv, outputs/identifiability/profile_objective.csv",scripts/identifiability_tradeoff_plots.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 6,COMPLETE,"Descriptive scatter; no causal inference."
outputs/figures/identifiability/gamma_vs_R0_diagnostic.png,fractional,calibration,"outputs/identifiability/multiseed_functionals.csv, outputs/identifiability/profile_objective.csv",scripts/identifiability_tradeoff_plots.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 6,COMPLETE,"Descriptive scatter; no causal inference."
outputs/audits/validation_residual_signs.csv,fractional+integer,validation,"outputs/validation/fractional_predictions.csv, outputs/validation/integer_predictions.csv",scripts/validation_residual_sign_audit.py,IDENTIFIABILITY_AUDIT_REPORT.md Sec 9,COMPLETE,"Integer: 24/24 negative residuals (confirms MAE==|bias|). Fractional: 20 negative, 4 positive."
IDENTIFIABILITY_AUDIT_REPORT.md,fractional+integer,calibration+validation,"outputs/identifiability/*, outputs/audits/validation_residual_signs.csv",N/A,N/A,COMPLETE,"Full audit report; verdict IDENTIFIABILITY_AUDIT_SUPPORTS_DERIVED_R0."
